state,state.po,county,FIPS,candidatevotesR,candidatevotesD,totalvotes,fracvotesR,partywonR
Alabama,AL,Autauga,1001,18172,5936,24973,0.727665879,1
Alabama,AL,Baldwin,1003,72883,18458,95215,0.765457123,1
Alabama,AL,Barbour,1005,5454,4871,10469,0.520966663,1
Alabama,AL,Bibb,1007,6738,1874,8819,0.764032203,1
Alabama,AL,Blount,1009,22859,2156,25588,0.893348445,1
Alabama,AL,Bullock,1011,1140,3530,4710,0.242038217,0
Alabama,AL,Butler,1013,4901,3726,8732,0.561268896,1
Alabama,AL,Calhoun,1015,32865,13242,47864,0.68663296,1
Alabama,AL,Chambers,1017,7843,5784,13900,0.564244604,1
Alabama,AL,Cherokee,1019,8953,1547,10733,0.83415634,1
Alabama,AL,Chilton,1021,15081,2911,18369,0.821002776,1
Alabama,AL,Choctaw,1023,4106,3109,7292,0.56308283,1
Alabama,AL,Clarke,1025,7140,5749,13031,0.547924181,1
Alabama,AL,Clay,1027,5245,1237,6624,0.791817633,1
Alabama,AL,Cleburne,1029,5764,684,6593,0.874260579,1
Alabama,AL,Coffee,1031,15875,4221,20767,0.764433958,1
Alabama,AL,Colbert,1033,16746,7312,24915,0.672125226,1
Alabama,AL,Conecuh,1035,3420,3080,6585,0.519362187,1
Alabama,AL,Coosa,1037,3381,1782,5252,0.64375476,1
Alabama,AL,Covington,1039,13267,2387,15940,0.832308657,1
Alabama,AL,Crenshaw,1041,4513,1664,6267,0.72012127,1
Alabama,AL,Cullman,1043,32989,3798,37873,0.871042695,1
Alabama,AL,Dale,1045,13808,4413,18749,0.736465945,1
Alabama,AL,Dallas,1047,5789,12836,18792,0.30805662,0
Alabama,AL,DeKalb,1049,21405,3622,25826,0.828815922,1
Alabama,AL,Elmore,1051,27634,8443,37260,0.741653247,1
Alabama,AL,Escambia,1053,9935,4605,14845,0.669248905,1
Alabama,AL,Etowah,1055,32353,10442,44164,0.732564985,1
Alabama,AL,Fayette,1057,6712,1362,8249,0.813674385,1
Alabama,AL,Franklin,1059,9466,2197,12040,0.786212625,1
Alabama,AL,Geneva,1061,9994,1525,11758,0.849974485,1
Alabama,AL,Greene,1063,838,4013,4880,0.171721311,0
Alabama,AL,Hale,1065,3173,4775,8040,0.394651741,0
Alabama,AL,Henry,1067,5632,2292,8072,0.697720515,1
Alabama,AL,Houston,1069,30728,10664,42639,0.7206548,1
Alabama,AL,Jackson,1071,16672,3673,20984,0.794510103,1
Alabama,AL,Jefferson,1073,134768,156873,304191,0.443037434,0
Alabama,AL,Lamar,1075,5823,1036,6966,0.835917313,1
Alabama,AL,Lauderdale,1077,27899,9952,39525,0.705857052,1
Alabama,AL,Lawrence,1079,10833,3627,14829,0.730528019,1
Alabama,AL,Lee,1081,34617,21230,59191,0.584835532,1
Alabama,AL,Limestone,1083,29067,9468,40294,0.721372909,1
Alabama,AL,Lowndes,1085,1751,4883,6684,0.261968881,0
Alabama,AL,Macon,1087,1431,7566,9140,0.156564551,0
Alabama,AL,Madison,1089,89520,62822,163389,0.547894901,1
Alabama,AL,Marengo,1091,5233,5615,10994,0.475986902,0
Alabama,AL,Marion,1093,11274,1432,12984,0.868299445,1
Alabama,AL,Marshall,1095,29233,4917,35316,0.827755125,1
Alabama,AL,Mobile,1097,95116,72186,172737,0.550640569,1
Alabama,AL,Monroe,1099,5795,4332,10271,0.564209911,1
Alabama,AL,Montgomery,1101,34003,58916,95878,0.354648616,0
Alabama,AL,Morgan,1103,37486,11254,50644,0.740186399,1
Alabama,AL,Perry,1105,1407,3824,5278,0.266578249,0
Alabama,AL,Pickens,1107,5456,3972,9542,0.571787885,1
Alabama,AL,Pike,1109,7693,5056,13168,0.58421932,1
Alabama,AL,Randolph,1111,7705,2291,10187,0.75635614,1
Alabama,AL,Russell,1113,9210,9579,19256,0.47829248,0
Alabama,AL,St. Clair,1115,31651,5589,38400,0.824244792,1
Alabama,AL,Shelby,1117,73020,22977,101254,0.721156695,1
Alabama,AL,Sumter,1119,1581,4746,6411,0.246607394,0
